Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,"Tormod, the Desecrator",cmr,Near Mint,English,,,27:09.2,155,FALSE,FALSE,
1,1,Total War,ice,Near Mint,English,,,27:09.2,221,FALSE,FALSE,
1,1,Tragic Slip,dka,Near Mint,English,,,27:09.2,76,FALSE,FALSE,
1,1,Undying Evil,dka,Near Mint,English,,,27:09.2,77,FALSE,FALSE,
1,1,Vindictive Lich,c17,Near Mint,English,,,27:09.2,21,FALSE,FALSE,
1,1,Vines of Vastwood,mm2,Near Mint,English,,,27:09.2,168,FALSE,FALSE,
1,1,Voldaren Thrillseeker,mom,Near Mint,English,,,27:09.2,171,FALSE,FALSE,
1,1,Warstorm Surge,afc,Near Mint,English,,,27:09.2,149,FALSE,FALSE,
1,1,"Wasitora, Nekoru Queen",2x2,Near Mint,English,,,27:09.2,293,FALSE,FALSE,
1,1,Wave of Vitriol,cma,Near Mint,English,,,27:09.2,165,FALSE,FALSE,
1,1,Wear // Tear,dgm,Near Mint,English,,,27:09.2,135,FALSE,FALSE,
1,1,Whispering Madness,gtc,Near Mint,English,,,27:09.2,207,FALSE,FALSE,
1,1,Winds of Rebuke,akh,Near Mint,English,,,27:09.2,76,FALSE,FALSE,
1,1,Wood Elves,c15,Near Mint,English,,,27:09.2,212,FALSE,FALSE,
1,1,Wrap in Vigor,cns,Near Mint,English,,,27:09.2,183,FALSE,FALSE,
1,1,Zombie Trailblazer,tor,Near Mint,English,,,27:09.2,89,FALSE,FALSE,
1,1,Zulaport Cutthroat,clb,Near Mint,English,,,27:09.2,775,FALSE,FALSE,
1,1,Arcane Signet,clb,Near Mint,English,,,27:09.2,298,FALSE,FALSE,
1,1,Astarion's Thirst,clb,Near Mint,English,,,27:09.2,114,FALSE,FALSE,
1,1,Cathars' Crusade,jmp,Near Mint,English,,,27:09.2,95,FALSE,FALSE,
1,1,Cauldron of Souls,c16,Near Mint,English,,,27:09.2,246,FALSE,FALSE,
1,1,Glorious Protector,clb,Near Mint,English,,,27:09.2,695,FALSE,FALSE,
1,1,Orzhov Signet,clb,Near Mint,English,,,27:09.2,867,FALSE,FALSE,
1,1,Smogsteed Rider,gpt,Near Mint,English,,,27:09.2,63,FALSE,FALSE,
1,1,"Taborax, Hope's Demise",znr,Near Mint,English,,,27:09.2,346,FALSE,FALSE,
1,1,Talisman of Hierarchy,clb,Near Mint,English,,,27:09.2,878,FALSE,FALSE,
1,1,Demolition Field,bro,Near Mint,English,,,27:09.2,260,FALSE,FALSE,
1,1,Ancient Excavation,c16,Near Mint,English,,,27:09.2,27,FALSE,FALSE,
1,1,Arcane Signet,ncc,Near Mint,English,,,27:09.2,360,FALSE,FALSE,
1,1,Cauldron's Gift,eld,Near Mint,English,,,27:09.2,83,FALSE,FALSE,
1,1,Defossilize,lci,Near Mint,English,,,27:09.2,103,FALSE,FALSE,
1,1,Dimir Signet,ncc,Near Mint,English,,,27:09.2,365,FALSE,FALSE,
1,1,Talisman of Dominance,mkc,Near Mint,English,,,27:09.2,242,FALSE,FALSE,
1,1,Doors of Durin,ltr,Near Mint,English,,,27:09.2,199,FALSE,FALSE,
1,1,Druids' Repository,avr,Near Mint,English,,,27:09.2,176,FALSE,FALSE,
1,1,See the Unwritten,ktk,Near Mint,English,,,27:09.2,149,FALSE,FALSE,
